 ALMAX  ALMAY S850  SourceS500 z  TargetID  HerschelX HerschelY S500 TargetFlag 
-0.8530657  0.2425247   9.98  45.53 0.631323 10053  -0.8533333  0.2411111  51.45 1
 1.3601730  0.0540933   8.42  34.92 1.076563 10047   1.3611111  0.0522222  51.56 1
 0.0518849 -1.7474151   1.87   4.93 2.541589 10012   0.0511111 -1.7488889  51.61 1
 0.0523678 -1.7503272   9.41  31.61 1.803531 10012   0.0511111 -1.7488889  51.61 0
 0.0504534 -1.7496310   2.69   7.35 1.803537 10012   0.0511111 -1.7488889  51.61 0
 2.1955025 -1.2079918  14.05  55.21 1.095939 10024   2.1955556 -1.2077778  51.65 1
-0.0017609 -1.7984220  10.83  49.25 0.549030 10009  -0.0022222 -1.7988889  52.36 1
 0.5073833  0.8099152   9.08  41.65 0.445522 10070   0.5077778  0.8100000  52.36 1
 0.6460447 -1.7408170   7.68  36.07 0.447929 10013   0.6444444 -1.7422222  52.76 1
 0.6423612 -1.7424061   3.73  21.53 0.132589 10013   0.6444444 -1.7422222  52.76 0
-1.3805069 -1.6254632  12.08  56.01 0.685506 10018  -1.3811111 -1.6266667  52.84 1
-0.0068081  1.5950758  13.05  47.34 1.269814 10089  -0.0066667  1.5955556  52.89 1
 0.8343546  1.7858696  11.86  58.86 0.338754 10097   0.8344444  1.7855556  53.10 1
 1.2131639  2.1365082   9.62  55.69 0.061181 10101   1.2133333  2.1366667  53.20 1
-0.5695280  0.3821218   6.43  15.04 2.449872 10061  -0.5688889  0.3833333  53.54 1
-0.5703276  0.3837357   1.17   3.03 3.840249 10061  -0.5688889  0.3833333  53.54 0
-0.7837111  0.9600197   4.16   7.29 3.669568 10075  -0.7844444  0.9588889  53.92 1
 1.4106971  0.9159335   3.82  23.66 0.040922 10074   1.4088889  0.9144444  54.01 1
 1.4091752  0.9153365   8.27  30.14 1.502649 10074   1.4088889  0.9144444  54.01 0
-1.6870331 -1.2457739   8.01  46.82 0.131269 10022  -1.6866667 -1.2455556  54.02 1
-2.4837737 -0.2702027   9.93  47.42 0.353229 10042  -2.4833333 -0.2700000  54.27 1
-1.2987720  1.5733624  10.53  43.42 1.092186 10088  -1.3000000  1.5733333  54.40 1
 1.1257966  1.6279798   1.82   4.98 2.331855 10092   1.1266667  1.6288889  54.58 1
 1.1275737  1.6288116   8.83  52.77 0.062406 10092   1.1266667  1.6288889  54.58 0
-0.2862763 -2.1107786   1.64   4.83 2.084296 10005  -0.2866667 -2.1122222  54.62 1
-0.2857955 -2.1118219   9.67  55.24 0.145132 10005  -0.2866667 -2.1122222  54.62 0
