GalaxyX   GalaxyY   GalaxyS850   GalaxyS500  GalaxyS350   GalaxyS250     z   SurveyID  SourceX  SourceY  SourceS500  SourceS350  SourceS250  SourceFlag 
 2.1955025 -1.2079934  14.05  55.21  110.92  163.91 1.095939 Survey010010  2.1955556 -1.2077778  51.65  105.12  156.90 1
 1.4106971  0.9159349   3.82  23.66   71.75  179.62 0.040922 Survey010011  1.4100000  0.9155556  51.76  121.02  236.39 1
 1.4091761  0.9153350   8.27  30.14   55.44   72.17 1.502649 Survey010011  1.4100000  0.9155556  51.76  121.02  236.39 0
-0.0017610 -1.7984227  10.83  49.25  117.18  220.96 0.549030 Survey010012 -0.0022222 -1.7988889  52.36  125.47  233.07 1
-0.0068075  1.5950779  13.05  47.34   86.81  112.85 1.269814 Survey010013 -0.0066667  1.5944444  52.48   86.39  107.54 1
-1.3805064 -1.6254603  12.08  56.01  136.16  264.69 0.685506 Survey010014 -1.3811111 -1.6255556  52.81  134.02  259.38 1
 0.8343556  1.7858715  11.86  58.86  154.76  337.19 0.338754 Survey010015  0.8344444  1.7855556  53.10  150.29  335.71 1
 1.2131658  2.1365104   9.62  55.69  154.21  331.69 0.061181 Survey010016  1.2133333  2.1366667  53.20  149.94  319.46 1
-2.4837723 -0.2702014   9.93  47.42  119.34  244.18 0.353229 Survey010017 -2.4844444 -0.2700000  53.27  122.19  237.02 1
-1.6870332 -1.2457694   8.01  46.82  131.55  290.87 0.131269 Survey010018 -1.6866667 -1.2455556  54.02  144.98  293.90 1
 1.1257981  1.6279796   1.82   4.98    6.65    6.49 2.331855 Survey010019  1.1277778  1.6288889  54.05  153.52  357.31 1
 1.1275753  1.6288148   8.83  52.77  153.57  362.81 0.062406 Survey010019  1.1277778  1.6288889  54.05  153.52  357.31 0
-1.2987702  1.5733647  10.53  43.42   92.17  147.23 1.092186 Survey010020 -1.2988889  1.5733333  54.16  102.18  153.17 1
-0.2862763 -2.1107795   1.64   4.83    6.45    5.17 2.084296 Survey010021 -0.2855556 -2.1122222  54.38  152.87  323.37 1
-0.2857946 -2.1118209   9.67  55.24  151.64  325.89 0.145132 Survey010021 -0.2855556 -2.1122222  54.38  152.87  323.37 0
 1.6510274  0.9972678   7.71  42.62  112.69  229.49 0.161265 Survey010022  1.6511111  0.9977778  54.74  142.38  285.77 1
 1.6511068  0.9979079   1.72   9.92   27.54   60.20 0.227326 Survey010022  1.6511111  0.9977778  54.74  142.38  285.77 0
 0.6487330  0.1315503   6.24  25.71   54.63   87.56 0.907257 Survey010023  0.6488889  0.1311111  54.79  102.28  148.03 1
 0.6487024  0.1302185   5.18  21.22   44.73   70.67 0.907247 Survey010023  0.6488889  0.1311111  54.79  102.28  148.03 0
 1.7279856  0.6900542  11.18  50.86  121.02  228.03 0.671952 Survey010024  1.7277778  0.6900000  54.92  123.89  229.44 1
 0.3133302 -0.0102863  10.12  54.88  140.40  267.55 0.068325 Survey010025  0.3133333 -0.0100000  55.01  140.35  266.32 1
-0.6553621  1.5720345  12.98  58.17  136.18  251.26 0.474980 Survey010026 -0.6555556  1.5722222  55.63  132.36  245.07 1
-0.3410491  2.3618538  10.30  62.08  181.29  426.64 0.153856 Survey010027 -0.3411111  2.3611111  55.67  173.52  415.04 1
 2.4145968 -0.5252445   4.65  14.49   22.28   25.12 2.096144 Survey010028  2.4144444 -0.5244444  56.13  122.98  195.82 1
 2.4148140 -0.5237719  11.84  49.83  108.37  179.41 0.868873 Survey010028  2.4144444 -0.5244444  56.13  122.98  195.82 0
-0.6598194 -1.9163432   9.76  58.79  170.86  396.36 0.077011 Survey010029 -0.6600000 -1.9166667  56.39  168.22  396.96 1
-1.3207282  0.7048579  10.78  47.83  110.54  200.01 0.582586 Survey010030 -1.3211111  0.7044444  56.55  126.13  219.37 1
-1.3211421  0.7051808   1.92   7.06   13.07   18.09 1.786773 Survey010030 -1.3211111  0.7044444  56.55  126.13  219.37 0
-0.7281453 -0.3790388  14.28  63.33  146.32  264.28 0.713133 Survey010031 -0.7288889 -0.3788889  56.58  138.93  251.97 1
-0.4272245  2.0299726   3.20  10.10   15.83   17.70 1.862133 Survey010032 -0.4277778  2.0322222  56.66  158.50  338.41 1
-0.4271026  2.0329623   9.70  56.26  156.94  344.85 0.163314 Survey010032 -0.4277778  2.0322222  56.66  158.50  338.41 0
 1.2560916  0.5939689  13.17  58.92  137.54  252.24 0.636452 Survey010033  1.2555556  0.5933333  56.69  133.48  244.83 1
-0.0956629  1.4505471  13.23  62.77  156.87  317.89 0.314670 Survey010034 -0.0955556  1.4500000  56.79  152.71  316.02 1
-1.7024102  0.3788623  14.34  57.29  117.31  178.07 1.058707 Survey010035 -1.7022222  0.3788889  57.07  118.06  175.52 1
 0.0072737  2.2152681  14.11  52.32   98.26  131.85 1.362761 Survey010036  0.0066667  2.2155556  57.29  105.85  136.23 1
-0.3277919  1.6949009  12.14  60.01  157.15  340.57 0.264183 Survey010037 -0.3277778  1.6944444  57.66  152.40  336.31 1
 0.0458097  0.6011951  15.57  60.93  121.91  179.34 1.036533 Survey010038  0.0455556  0.6011111  57.88  119.03  177.45 1
